"","iso_ref","gene_ref","isoform_id","gene_id","gene_name","condition_1","condition_2","IF1","IF2","dIF","isoform_switch_q_value","Rank"
"1","isoComp_00086785","geneComp_00028491","ENSMUST00000040967","Vps37b","Vps37b","S7","U2",0.997,0.889,-0.108,2.58407618817669e-69,1
"2","isoComp_00086786","geneComp_00028491","ENSMUST00000199306","Vps37b","Vps37b","S7","U2",0,0.109,0.109,4.97995498195161e-45,2
"3","isoComp_00020305","geneComp_00005571","ENSMUST00000154422","Dkc1","Dkc1","S7","U2",0.129,0,-0.129,2.16806797246601e-35,3
"4","isoComp_00016068","geneComp_00004570","ENSMUST00000212369","Cnot1","Cnot1","S7","U2",0.112,0,-0.112,3.14655093468919e-30,4
"5","isoComp_00074736","geneComp_00025670","ENSMUST00000129393","Smyd3","Smyd3","S7","U2",0.157,0,-0.157,3.14655093468919e-30,5
"6","isoComp_00067338","geneComp_00023772","ENSMUST00000087684","Rgs12","Rgs12","S7","U2",0.035,0.202,0.167,4.95549151995277e-25,6
"7","isoComp_00045545","geneComp_00018465","ENSMUST00000059836","Kif7","Kif7","S7","U2",0.127,0,-0.127,3.32436863399449e-19,7
"8","isoComp_00063337","geneComp_00022900","ENSMUST00000117442","Prelid3b","Prelid3b","S7","U2",0.108,0,-0.108,3.32436863399449e-19,8
"9","isoComp_00059222","geneComp_00022002","ENSMUST00000030251","Pde4b","Pde4b","S7","U2",0.14,0,-0.14,3.83926046627377e-19,9
"10","isoComp_00007140","geneComp_00002367","ENSMUST00000131086","Arhgap22","Arhgap22","S7","U2",0.223,0.031,-0.192,9.63000946786434e-18,10
"11","isoComp_00022948","geneComp_00006193","ENSMUST00000220878","Eipr1","Eipr1","S7","U2",0.118,0,-0.118,1.3165139321579e-17,11
"12","isoComp_00023280","geneComp_00006268","ENSMUST00000038876","Emp3","Emp3","S7","U2",0.844,0.664,-0.18,1.3165139321579e-17,12
"13","isoComp_00023281","geneComp_00006268","ENSMUST00000164119","Emp3","Emp3","S7","U2",0.119,0.295,0.176,2.60769435067352e-17,13
"14","isoComp_00045547","geneComp_00018465","ENSMUST00000184137","Kif7","Kif7","S7","U2",0,0.137,0.137,2.61982837486089e-17,14
"15","isoComp_00043109","geneComp_00017869","ENSMUST00000132749","Ikbkg","Ikbkg","S7","U2",0.129,0.02,-0.109,3.85916852538628e-17,15
"16","isoComp_00075938","geneComp_00025989","ENSMUST00000224122","Spire1","Spire1","S7","U2",0.109,0,-0.109,5.72679001000459e-17,16
"17","isoComp_00065458","geneComp_00023392","ENSMUST00000108322","Rab34","Rab34","S7","U2",0.183,0.312,0.129,7.36371969762295e-17,17
"18","isoComp_00065456","geneComp_00023392","ENSMUST00000002128","Rab34","Rab34","S7","U2",0.779,0.651,-0.127,3.48627353173124e-16,18
"19","isoComp_00054952","geneComp_00020673","ENSMUST00000221275","Nin","Nin","S7","U2",0.171,0,-0.171,2.75807835651351e-15,19
"20","isoComp_00090822","geneComp_00029409","ENSMUST00000033265","Zranb1","Zranb1","S7","U2",0.121,0,-0.121,3.95564211489897e-15,20
"21","isoComp_00064448","geneComp_00023182","ENSMUST00000099560","Ptar1","Ptar1","S7","U2",0.134,0,-0.134,4.9827291426073e-13,21
"22","isoComp_00012334","geneComp_00003653","ENSMUST00000200550","Ccdc12","Ccdc12","S7","U2",0.144,0.021,-0.124,3.14669326064534e-12,22
"23","isoComp_00062046","geneComp_00022609","ENSMUST00000025773","Pold4","Pold4","S7","U2",0.818,0.947,0.129,1.16131151723308e-11,23
"24","isoComp_00007327","geneComp_00002404","ENSMUST00000169623","Arhgef16","Arhgef16","S7","U2",0,0.123,0.123,7.30538511654429e-11,24
"25","isoComp_00076100","geneComp_00026044","ENSMUST00000095083","Sptan1","Sptan1","S7","U2",0.18,0.075,-0.104,1.34705694973771e-10,25
"26","isoComp_00062047","geneComp_00022609","ENSMUST00000235306","Pold4","Pold4","S7","U2",0.163,0.033,-0.13,8.78294384597117e-10,26
"27","isoComp_00053653","geneComp_00020411","ENSMUST00000239124","Nat8f1","Nat8f1","S7","U2",0.675,0.389,-0.286,2.45424527055096e-09,27
"28","isoComp_00060856","geneComp_00022344","ENSMUST00000172818","Pja2","Pja2","S7","U2",0.778,0.671,-0.107,2.49376072440933e-09,28
"29","isoComp_00088891","geneComp_00028930","ENSMUST00000072713","Zfp108","Zfp108","S7","U2",0.245,0,-0.245,9.09642687951714e-09,29
"30","isoComp_00012326","geneComp_00003653","ENSMUST00000019803","Ccdc12","Ccdc12","S7","U2",0.832,0.95,0.118,9.80366336236129e-09,30
"31","isoComp_00043105","geneComp_00017869","ENSMUST00000114128","Ikbkg","Ikbkg","S7","U2",0.271,0.069,-0.202,1.53020904652635e-08,31
