"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000102628",14.764059178941,1.81647421541158,0.398912535953869,4.55356513444249,5.2744330673062e-06,0.000242498339356387
"ENSMUSG00000102095",10.9704878908215,1.96859238620766,0.457734189076197,4.30073268108001,1.70234317866031e-05,0.00063521249816291
"ENSMUSG00000100954",1895.88398819447,0.513869143651429,0.135288903961398,3.79830960710607,0.000145686274219872,0.00341684447998266
"ENSMUSG00000025911",556.648880102156,1.1659884750125,0.318393038326313,3.66210417520972,0.000250152088692934,0.00524098028860097
"ENSMUSG00000041763",32368.2916265667,-0.282272004113015,0.075796523461285,-3.72407587080418,0.000196031970369488,0.00431792092908913
"ENSMUSG00000015961",36935.8182562201,-0.244745404950926,0.0850329934101811,-2.87824049390248,0.00399900147178311,0.0391212328045618
"ENSMUSG00000080950",825.545016203805,0.703243575724323,0.153551144263245,4.57986541942465,4.65275217713651e-06,0.000216493119374713
"ENSMUSG00000026480",535.419142959623,-0.704481117616909,0.18702596253871,-3.76675573837026,0.000165382664768886,0.00379430406735112
"ENSMUSG00000025915",8766.57007204369,0.364053813936121,0.123472718318222,2.9484554879391,0.0031936612754673,0.0333049140752152
"ENSMUSG00000055067",2795.67782757131,-0.296884240079781,0.0953002316192797,-3.11525203071721,0.0018378780323073,0.0226884174457349
"ENSMUSG00000046101",96.0213634855757,1.25887959598805,0.306061590463944,4.11315772776248,3.90283529399504e-05,0.00122708954453803
"ENSMUSG00000026042",138278.829979918,0.45041984314251,0.110336372003485,4.08224264550118,4.46031918109978e-05,0.00136531725316306
"ENSMUSG00000025995",15755.0329531403,-0.412724277364019,0.146858094878002,-2.81036110203444,0.00494859436726931,0.0448977402812703
"ENSMUSG00000084817",30118.3011463323,-0.527711430784471,0.185549269008222,-2.84405017387099,0.00445440329267465,0.0417605612092108
"ENSMUSG00000026478",50737.2457894595,0.554290246428836,0.105929350667078,5.23264083975081,1.67105238719608e-07,1.36825533272465e-05
"ENSMUSG00000041144",2145.43543299747,0.806501994910721,0.204184546599429,3.94986794222446,7.81943229997016e-05,0.00210443536881427
"ENSMUSG00000042699",98002.9625925813,-0.248428641800001,0.0796029067442276,-3.12084887299691,0.00180330553258185,0.0224054669174191
"ENSMUSG00000101262",161.208244264664,-0.638046426384803,0.219275600205617,-2.90979217836594,0.0036166915789276,0.036469093675766
"ENSMUSG00000042684",740.859370522146,-0.564016395513032,0.138522775834632,-4.07165097663328,4.66810902782161e-05,0.00140690475967076
