cluster	status	loglr	df	p	p.adjust	genes
chr1:clu_14427_+	Success	0.46273322590423	2	0.629560560557015	0.827908836824581	Lypla1,Gm37988
chr1:clu_14428_+	Success	0.280473960455311	1	0.453878562804874	0.714708895359011	Tcea1
chr1:clu_14429_+	Success	1.5628676381225	1	0.0770650985089265	0.30673166283983	Atp6v1h
chr1:clu_14430_+	Success	0.296805425761363	1	0.441026211869934	0.706211626266392	Atp6v1h
chr1:clu_14431_+	Success	1.17240445269636	2	0.309621575094654	0.605652693231602	Atp6v1h
chr1:clu_14432_+	Success	0.0148739825071971	2	0.98523608876214	0.999528313558977	Atp6v1h
chr1:clu_14433_+	Success	0.315292453918801	2	0.729575475859001	0.887417202874727	Rb1cc1
chr1:clu_14434_+	Success	0.0240863154606359	1	0.826274098528725	0.937836285795419	Rb1cc1
chr1:clu_14435_+	Success	3.01433104494208	7	0.536406640638981	0.769110213828133	Alkal1
chr1:clu_14436_+	Success	2.5035725298585	2	0.0817922707163147	0.315639098518184	Alkal1
chr1:clu_14437_+	Success	2.54903988169349	3	0.164754538689276	0.447906438072097	Sgk3
chr1:clu_14438_+	Success	2.9685245690788	2	0.0513790606908122	0.250672285293893	Cspp1
chr1:clu_14439_+	Success	0.356452250555435	2	0.700155902726917	0.870650757529576	Sulf1
chr1:clu_14440_+	Success	0.637028817988494	2	0.528861435563312	0.764563184541355	Terf1
chr1:clu_14441_+	Success	0.0705310114155964	1	0.707227492339458	0.873369168801791	Rdh10
chr1:clu_14442_+	Success	1.34239443382171	1	0.101310652865167	0.352027521197301	Rdh10
chr1:clu_14443_+	Success	8.13647377428151	6	0.0123615613672092	0.11150571424739	D030040B21Rik,Tmem70
chr1:clu_14444_+	Success	2.15842368979611	1	0.0377367752840249	0.210682034673229	Tmem14a
chr1:clu_14445_+	Success	4.09399184539825	1	0.00421687655587742	0.0593362733917747	Lmbrd1
chr1:clu_14446_+	Success	0.685745903479756	1	0.241555735942166	0.54292616995698	Lmbrd1
chr1:clu_14447_+	Success	0.00320986278802593	1	0.936139279084412	0.983307685647975	Gm6473
chr1:clu_14448_+	Success	3.21962640698439	1	0.011162558835352	0.105488212572032	Gm6473
chr1:clu_14449_+	Success	0.000176412846428775	1	0.98501369299314	0.999447493281359	Rab23
chr1:clu_14450_+	Success	1.75971319128263	1	0.0606534360365145	0.272715819808625	Rab23
chr1:clu_14451_+	Not enough valid samples	NA	NA	NA	NA	Dst
chr1:clu_14452_+	Not enough valid samples	NA	NA	NA	NA	Dst
chr1:clu_14453_+	Success	0.188204084054917	1	0.539531820433317	0.770311829782284	Dst
chr1:clu_14454_+	Success	1.626308551276	2	0.196654174693401	0.492699037450604	Dst
chr1:clu_14455_+	Success	2.1712288941817	2	0.114037390880858	0.374584846366066	Dst
chr1:clu_14456_+	Success	5.09056674134627	3	0.0170875535230446	0.134042871954614	Imp4
chr1:clu_14457_+	Success	13.1859202749583	3	7.97182049889608e-06	0.000585816942703736	Plekhb2
chr1:clu_14458_+	Success	0.0369589269248536	5	0.999923039016118	1	Hs6st1
chr1:clu_14459_+	Success	1.11897075360503	1	0.13466014339374	0.406480689267509	Arid5a
chr1:clu_14460_+	Success	2.96765218620385	2	0.0514239024602416	0.250682623929004	Arid5a
chr1:clu_14461_+	Success	2.76993040680418	1	0.018588061042531	0.141219524614447	Cnnm3
chr1:clu_14462_+	Success	0.200177036007972	2	0.818585821083323	0.933943842716826	Cnnm3
chr1:clu_14463_+	Success	0.51805220732831	1	0.308729215957236	0.605040476874236	Cox5b
chr1:clu_14464_+	Success	0.811560846763939	2	0.444164252559129	0.708386736475291	Inpp4a
chr1:clu_14465_+	Success	4.49427016138543	6	0.174223581593063	0.46152862404555	Unc50
chr1:clu_14466_+	Success	8.00357744250573	3	0.00113016054606362	0.0247951719018011	Lipt1
chr1:clu_14467_+	Success	0.352502540728892	2	0.702926783862061	0.871664650351212	Mrpl30
chr1:clu_14468_+	Success	1.43932230266364	2	0.237088378412725	0.539486391571767	Mrpl30
chr1:clu_14469_+	Success	0.0648340603676161	1	0.718776391104328	0.88028707328905	Eif5b
chr1:clu_14470_+	Success	1.89779163439016	4	0.43437689813174	0.701516150775043	Pdcl3
chr1:clu_14471_+	Success	1.17391615055385	2	0.309153874423068	0.605410574198382	Rpl31
chr1:clu_14472_+	Success	4.58095133194001	4	0.0571776563315751	0.265318668056337	Map4k4
chr1:clu_14473_+	Success	15.1437351085096	7	8.40946837953765e-05	0.00368609878254133	Map4k4
chr1:clu_14474_+	Success	0.0803880118046436	1	0.688443053561496	0.864897612111814	Map4k4
chr1:clu_14475_+	Success	1.48122124955626	2	0.227359855643973	0.527931021528398	Map4k4
