cluster	status	loglr	df	p	p.adjust	genes
chr1:clu_22357_+	Success	0.222482734439836	2	0.800528828209557	0.957391747257955	Lypla1,Gm37988
chr1:clu_22358_+	Success	0.00222848744670046	1	0.946772306851011	1	Tcea1
chr1:clu_22359_+	Success	0.0845218170479711	1	0.680963162581153	0.906936378077354	Atp6v1h
chr1:clu_22360_+	Success	0.955048395702761	2	0.384793521749447	0.754164286508185	Atp6v1h
chr1:clu_22361_+	Success	0.684408367647848	2	0.504388553903506	0.82788208847494	Atp6v1h
chr1:clu_22362_+	Success	1.52532270225856	2	0.217550841388627	0.611938212260321	Atp6v1h
chr1:clu_22363_+	Success	0.710984943965741	2	0.491160193872719	0.819446391142033	Atp6v1h
chr1:clu_22364_+	Success	1.64200502780659	1	0.0699578043109071	0.383045538784349	Rb1cc1
chr1:clu_22365_+	Success	1.62130646811329	2	0.197640319562655	0.587681471728676	Rb1cc1
chr1:clu_22366_+	Success	0.780177761939967	1	0.211613172333854	0.605607999626991	Rb1cc1
chr1:clu_22367_+	Success	0.299412203164138	1	0.439026920171827	0.787991130067062	Rb1cc1
chr1:clu_22368_+	Success	2.71774737168198	3	0.142548056426659	0.512783281846057	Rb1cc1
chr1:clu_22369_+	Success	2.96625637729358	2	0.0514957305189571	0.337565306070136	Rb1cc1
chr1:clu_22370_+	Success	18.7430533664883	9	2.15476287365438e-05	0.00283517068875832	Alkal1
chr1:clu_22371_+	Success	4.58383455828152	2	0.0102156485957732	0.151043690312869	Alkal1
chr1:clu_22372_+	Success	1.16554920068666	3	0.506589471684527	0.829236218048784	Pcmtd1
chr1:clu_22373_+	Success	6.6897674958218	8	0.0994411191519066	0.438386686364269	Pcmtd1
chr1:clu_22374_+	Success	1.84213832413957	2	0.15847818580302	0.536935080911979	Adhfe1
chr1:clu_22375_+	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	NA
chr1:clu_22376_+	Not enough valid samples	NA	NA	NA	NA	NA
chr1:clu_22377_+	Success	1.5429552537862	4	0.543552835704474	0.847619224579761	Sgk3
chr1:clu_22378_+	Success	0.81121899000027	3	0.654312927731572	0.896168361833533	Sgk3
chr1:clu_22379_+	Success	0.859725821504071	2	0.423278120167827	0.778408519873209	Sgk3
chr1:clu_22380_+	Success	0.879412681820213	2	0.415026592778441	0.772037504485085	Cspp1
chr1:clu_22381_+	Success	0.454288420590728	2	0.634899588721439	0.886201053045839	Cspp1
chr1:clu_22382_+	Success	0.746799892287527	2	0.473880597851201	0.80981356240972	Cspp1
chr1:clu_22383_+	Success	0.674955010117628	2	0.509179328010318	0.830700667573275	Cspp1
chr1:clu_22384_+	Success	0.411139431475874	1	0.364514721326908	0.739216811686823	NA
chr1:clu_22385_+	Success	2.39101915650451	3	0.188471022395976	0.576723682050658	NA
chr1:clu_22386_+	Success	0.333532477834069	2	0.71638863151103	0.923162447838491	Cspp1
chr1:clu_22387_+	Success	4.14231395215575	2	0.0158860493835418	0.186676427449022	Sulf1
chr1:clu_22388_+	Success	0.319820666016312	2	0.726279271950681	0.927442757327035	Sulf1
chr1:clu_22389_+	Success	0.478540947238798	2	0.619686888386849	0.880161920972153	Terf1
chr1:clu_22390_+	Success	1.15521948764126	2	0.314988393256142	0.697740272471742	Terf1
chr1:clu_22391_+	Success	1.16550444797281	1	0.126819658869425	0.48767745172663	Terf1
chr1:clu_22392_+	Success	0.518376897576672	1	0.308577656934221	0.692423610761946	Rdh10
chr1:clu_22393_+	Success	0.138141728541086	1	0.599147582376296	0.870601552458319	Rdh10
chr1:clu_22394_+	Success	9.43267767219731	12	0.091830037691213	0.424638486095212	D030040B21Rik,Tmem70
chr1:clu_22395_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	Ly96
chr1:clu_22396_+	Success	0.356452996498092	3	0.870164212706278	0.981278757812247	Ly96
chr1:clu_22397_+	Success	0.0303288773050667	1	0.805459336757041	0.959031987109444	Ly96
chr1:clu_22398_+	Success	0.681274399877168	1	0.243096240362511	0.635926009007952	Paqr8
